,band1,exposure1,time1,psfMag11,psfMag12,psfMagErr11,psfMagErr12,apMag11,apMag12,apMagErr11,apMagErr12,band2,exposure2,time2,psfMag21,psfMag22,psfMagErr21,psfMagErr22,apMag21,apMag22,apMagErr21,apMagErr22,dt,airmassb1,airmassb2,deltapsfmag_s12b1,deltapsfmagErr_s12b1,deltaapmag_s12b1,deltaapmagErr_s12b1,deltapsfmag_s12b2,deltapsfmagErr_s12b2,deltaapmag_s12b2,deltaapmagErr_s12b2,psfcol12_s1,psfcol12Err_s1,apcol12_s1,apcol12Err_s1,psfcol12_s2,psfcol12Err_s2,apcol12_s2,apcol12Err_s2,psfcol12_s12,psfcol12Err_s12,apcol12_s12,apcol12Err_s12,psfmagmax_s12b1,psfmagmax_s12b2,apmagmax_s12b1,apmagmax_s12b2,index,DATE-OBS,id,BITPIX,NAXIS,NAXIS1,NAXIS2,EXTEND,TARGET,REDSHIFT,GRATING,ROTANGLE,D2CCD,LSHIFT,PARANGLE,TARGETX,TARGETY,LBDA_REF,PSF_REG,TRACE_R,MEANFWHM,PIXSHIFT,CHI2_FIT,A2_FIT,AM_FIT,VERSION,CCD_REBIN,CONFIG,EXPTIME,AIRMASS,DEC,HA,OUTTEMP,OUTPRESS,OUTHUM,FILTER,CAM_ROT,S_X0,S_Y0,S_XMIN,S_XMAX,S_YMIN,S_YMAX,S_NX,S_NY,S_DEG,S_SAT,S_ORDER,A1_x,A1_err_x,A2_x,A2_err_x,A3,A3_err,VAOD_x,VAOD_err_x,angstrom_exp_x,angstrom_exp_err_x,ozone [db]_x,ozone [db]_err_x,PWV [mm]_x,PWV [mm]_err_x,B_x,B_err_x,A_star,A_star_err,D_CCD [mm]_x,D_CCD [mm]_err_x,shift_x [pix],shift_x [pix]_err,shift_y [pix],shift_y [pix]_err,angle [deg],angle [deg]_err,x_c_0_1,x_c_0_1_err,x_c_1_1,x_c_1_1_err,x_c_2_1,x_c_2_1_err,y_c_0_1,y_c_0_1_err,y_c_1_1,y_c_1_1_err,y_c_2_1,y_c_2_1_err,gamma_0_1,gamma_0_1_err,gamma_1_1,gamma_1_1_err,gamma_2_1,gamma_2_1_err,alpha_0_1,alpha_0_1_err,alpha_1_1,alpha_1_1_err,alpha_2_1,alpha_2_1_err,saturation_0_1,saturation_0_1_err,x_c_0_2,x_c_0_2_err,x_c_1_2,x_c_1_2_err,x_c_2_2,x_c_2_2_err,y_c_0_2,y_c_0_2_err,y_c_1_2,y_c_1_2_err,y_c_2_2,y_c_2_2_err,gamma_0_2,gamma_0_2_err,gamma_1_2,gamma_1_2_err,gamma_2_2,gamma_2_2_err,alpha_0_2,alpha_0_2_err,alpha_1_2,alpha_1_2_err,alpha_2_2,alpha_2_2_err,saturation_0_2,saturation_0_2_err,x_c_0_3,x_c_0_3_err,x_c_1_3,x_c_1_3_err,x_c_2_3,x_c_2_3_err,y_c_0_3,y_c_0_3_err,y_c_1_3,y_c_1_3_err,y_c_2_3,y_c_2_3_err,gamma_0_3,gamma_0_3_err,gamma_1_3,gamma_1_3_err,gamma_2_3,gamma_2_3_err,alpha_0_3,alpha_0_3_err,alpha_1_3,alpha_1_3_err,alpha_2_3,alpha_2_3_err,saturation_0_3,saturation_0_3_err,A1_y,A1_err_y,A2_y,A2_err_y,VAOD_y,VAOD_err_y,angstrom_exp_y,angstrom_exp_err_y,ozone [db]_y,ozone [db]_err_y,PWV [mm]_y,PWV [mm]_err_y,reso [nm],reso [nm]_err,D_CCD [mm]_y,D_CCD [mm]_err_y,alpha_pix [pix],alpha_pix [pix]_err,B_y,B_err_y,Time,dt_abs_specphot,td_rel_specphot
0,g,2023112100510,2023-11-22 07:05:45.944507904,13.61188933086973,14.92099372263433,0.00309609192821,0.0044476872462318,-14.448058295833553,-13.129989700075257,0.001661061418188043,0.005592591898132348,r,2023112100511,2023-11-22 07:06:32.523997952,13.47182751314395,14.588117157929595,0.00286833721299,0.0039981701943398,-14.38683932600692,-13.270798824043052,0.0017343307293335127,0.004847838237690896,46.57949,1.0819354584994998,1.080730025065038,-1.3091043917646008,0.0054191980096892686,-1.3180685957582963,0.005834055979680727,-1.1162896447856454,0.004920642566812834,-1.1160405019638677,0.005148731752337509,0.14006181772577975,0.00422056199994152,-0.06121896982663344,0.002401463743991024,0.33287656470473515,0.005980575786928895,0.1408091239677951,0.007401257982118549,0.1928147469789554,0.007319865459047081,0.20202809379442854,0.007781108393511617,14.92099372263433,14.588117157929595,-13.129989700075257,-13.270798824043052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,g,2023112700397,2023-11-28 08:14:21.002502912,13.605282641356336,14.90470027735105,0.0028988985369969,0.0041965411478623,-14.473896917464067,-13.180391947459064,0.0017441779272560699,0.005741069100615811,r,2023112700394,2023-11-28 08:11:20.978504960,13.450483281998666,14.591914160224167,0.0024789470107901,0.0035257158203301,-14.429987454160694,-13.310689591978822,0.0017435764104305226,0.004888325644621567,-180.023998,1.0063845867740682,1.0069098694159035,-1.2994176359947147,0.0051004480522307254,-1.293504970005003,0.00600016925261054,-1.141430878225501,0.004309971035637145,-1.119297862181872,0.005189969778994348,0.15479935935766953,0.0038142877461077767,-0.04390946330337364,0.0024662147799689033,0.3127861171268833,0.0054810245074645835,0.13029764451975723,0.007540265381663334,0.15798675776921378,0.006677605907923537,0.17420710782313087,0.007933335828442382,14.90470027735105,14.591914160224167,-13.180391947459064,-13.310689591978822,2480.0,2023-11-28 08:20:11.280997722+00:00,2023112700403.0,-64.0,2.0,1137.0,3.0,True,HD185975,-6.5e-05,holo4_003,0.11855094845726395,186.97134699271402,0.0,174.01415461812365,106.67346446036699,871.51612378228,619.6434547793207,7.993739658934857,57.82771397513427,7.1929882915945,0.9557731911820952,8.266059085778078,0.0,2.14256249399399,3.1.0,2.0,,60.0,2.14256249399399,-87.4705010256381,-186.13380782091352,10.0,743.0,,empty,6.500497873956988,-416.41542535074683,19.516123782280005,520.0,1657.0,852.0,897.0,1137.0,45.0,2.0,11333.333333333334,1.0,0.7122851671451486,0.00023564050997184163,1.0,0.0,0.0,0.0,0.0,0.00019661398031804166,1.7382674670446336,0.0,304.16623343381355,1.0378703644584957,2.9218094815230256,0.009240907451960061,1.0,0.0,1.0,0.0,186.91009772652677,0.003240188293948713,1.0793349800975127,0.014298297696479787,0.03038974019001368,0.0,0.1212381401560068,0.0,985.3752662072019,0.0,568.0198940124912,0.0,-0.019620927840374447,0.0,-0.15226757070739422,0.0003898743794546026,-0.05570602873175809,0.0009451846272283972,1.0707508861316966,0.002310364076619562,6.674170874927489,0.0033656097357103285,-2.707260382991236,0.007624377674828123,0.7494259917304923,0.0203007778331923,2.9023381915256072,0.0015249197357715969,-0.5891457334560862,0.003434856570745761,-0.07947239790083829,0.00913486714841751,11333.333333333392,0.0,985.3752662072019,0.0,568.0198940124912,0.0,-0.019620927840374447,0.0,0.1559401777005873,0.07967548384781019,-5.243971763993837,0.26827887384294336,-5.574889929295634,0.2225855780521035,6.493064742416404,0.021359470918356424,0.0,0.0,0.0,0.0,2.541475514629294,0.008337830552033524,0.0,0.0,0.0,0.0,11333.333333333392,0.0,985.3752662072019,0.0,568.0198940124912,0.0,-0.019620927840374447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.77740876922266,0.0,0.0,0.0,0.0,0.0,2.9484029210663047,0.0,0.0,0.0,0.0,0.0,11333.333333333392,0.0,0.7191383563696375,0.0006620578308848829,0.0,0.0,0.001973449470214679,0.0005035441390393749,3.0,0.0,312.3525893118511,5.276552213207343,2.9828201619064973,0.02889327417624834,2.3873888242512336,0.03117817576424022,186.84677406690227,0.006346091540750601,0.9557731911820952,0.0,0.0,0.0,2023-11-28 08:20:11.280997722+00:00,350.278494,350.278494
2,g,2023112800499,2023-11-29 06:30:27.931997952,13.594994130597955,14.911139114837065,0.0031122275129282,0.0044912951544787,-14.445873579933512,-13.143225221971413,0.0017733922805858878,0.005886594995404855,r,2023112800500,2023-11-29 06:31:14.574996992,13.471388121139238,14.60098924473362,0.0028652386874586,0.0039902906033829,-14.38534915697639,-13.249687537311729,0.0018037454730103761,0.005133811305035153,46.642999,1.0945242590976114,1.093202952321866,-1.3161449842391093,0.005464219272400321,-1.3026483579620987,0.006147920040206045,-1.129601123594382,0.004912434410305684,-1.1356616196646616,0.005441462693716843,0.12360600945871703,0.0042303135614676045,-0.060524422957120905,0.002529509421260779,0.3101498701034444,0.0060078408154752,0.10646231534031614,0.007810763032868954,0.1865438606447274,0.00734776864717626,0.16698673829743704,0.008210142329331403,14.911139114837065,14.60098924473362,-13.143225221971413,-13.249687537311729,2515.0,2023-11-29 05:56:46.406001254+00:00,2023112800488.0,-64.0,2.0,1137.0,3.0,True,HD2811,0.0,holo4_003,0.13550288853244222,186.98902876595773,0.0,106.01430745020762,100.39843013225172,869.7683982766541,558.3381627049305,3.512064635525992,53.71270453488847,9.20457122096351,0.8849458351566402,3.8583089761871108,0.0,2.08855077524966,3.1.0,2.0,,60.0,2.08855077524966,-43.6163329437795,78.19050509106593,10.4250001907349,741.2,31.7875003814697,empty,74.416805063845,-416.547714336887,17.768398276654068,514.0,1651.0,852.0,897.0,1137.0,45.0,2.0,11333.333333333334,1.0,0.7349437843440109,0.0001878284844101424,1.0,0.0,0.0,0.0,0.006599949812743955,0.00011766535885878667,3.0,0.0,304.914563650929,0.9465843838673225,3.518112671416081,0.012641135145611089,1.0,0.0,1.0,0.0,186.98783819172175,0.0029678470701829827,0.6178781373256034,0.011536726132457773,-1.3394463844474072,0.0,0.1388007116205345,0.0,985.4451924729846,0.0,568.0210574558132,0.0,-0.021068473661314552,0.0,-0.24798935978268907,0.0005370820289704218,-0.005915837402850137,0.0018458433082369219,1.2780891933682503,0.0031093320574621733,7.91664655655331,0.0039710936444289115,-3.0710667192025802,0.009696641443893967,0.9351514805758158,0.021769675877374092,2.542658409862664,0.0012356225386001502,-0.5459979034209604,0.0032135443328867794,0.042629939996988636,0.007006491653502654,11333.33333333337,0.0,985.4451924729846,0.0,568.0210574558132,0.0,-0.021068473661314552,0.0,1.5484828375687028,0.06351933240789295,1.8063841929074411,0.21052708908054918,1.810278417688156,0.17137906855198215,9.767057247722002,0.03098807218783697,0.0,0.0,0.0,0.0,2.9324900355376466,0.01100368319476384,0.0,0.0,0.0,0.0,11333.33333333337,0.0,985.4451924729846,0.0,568.0210574558132,0.0,-0.021068473661314552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.013853577498525,0.0,0.0,0.0,0.0,0.0,2.570294685888388,0.0,0.0,0.0,0.0,0.0,11333.33333333337,0.0,0.7322721714337412,0.0006780034001978894,0.0,0.0,0.0029592695192722303,0.0005385832796887843,3.0,0.0,311.0834750065898,5.451732174227854,3.3857310060511687,0.030781510005279174,2.3242351380122614,0.025322183439963612,186.89135271470704,0.0058732707509185,0.8849458351566402,0.0,0.0,0.0,2023-11-29 05:56:46.406001254+00:00,2021.525997,-2021.525997
3,g,2023120600228,2023-12-07 06:12:52.617496064,13.62697016426466,14.932810174154936,0.002887638718023,0.0041841616047906,-14.443130879669255,-13.143731697793445,0.0016453778457844606,0.005445343968014262,r,2023120600229,2023-12-07 06:13:39.380998912,13.49714685963457,14.60650349170313,0.0026427088057427,0.0037884365959932,-14.37154493656115,-13.268065855601003,0.001727366552074511,0.004772831894993554,46.763502,1.0724337030367035,1.0713126061421567,-1.3058400098902752,0.005083863265355331,-1.2993991818758097,0.005688500609597191,-1.1093566320685593,0.004619108320207544,-1.1034790809601471,0.005075797425340529,0.12982330463009006,0.003914379541865546,-0.07158594310810429,0.0023855949909035476,0.32630668245180594,0.005644418497672226,0.1243341578075583,0.007240973361907712,0.19648337782171588,0.006868902923658182,0.1959201009156626,0.007623828348571416,14.932810174154936,14.60650349170313,-13.143731697793445,-13.268065855601003,2620.0,2023-12-07 05:26:49.049509593+00:00,2023120600190.0,-64.0,2.0,1137.0,3.0,True,HD2811,0.0,holo4_003,0.12261808248483082,187.02516366922308,0.0,106.22897626537365,101.7510876358807,872.1437271783155,558.3381627049305,22.885610382856854,59.70932384767222,5.3164986564592605,0.9699269476901042,11.07093743131939,0.0,2.10580792040668,3.1.0,2.0,,60.0,2.10580792040668,-43.6151159559177,78.55843032659084,11.0249996185303,741.5,26.1749992370605,empty,74.19525500246101,-416.3757755489081,18.143727178315515,515.0,1652.0,854.0,899.0,1137.0,45.0,2.0,11333.333333333334,1.0,0.7294715180962752,0.00015889923791342485,1.0,0.0,0.0,0.0,0.017051630122923964,9.76374389684217e-05,3.0,0.0,329.4567602072431,0.9510944021440512,1.6525440837759413,0.0071933928842753,1.0,0.0,1.0,0.0,187.0831751942332,0.00167383817537226,0.16019151462089995,0.007565472069780003,-1.5868350450691442,0.0,0.1388933614017552,0.0,985.3574416916849,0.0,568.0191113148455,0.0,-0.019181190718991548,0.0,-0.29506334012459245,0.00028156427383762206,-0.1863628283058297,0.0006952453352877384,1.111277550097304,0.0015172071766250252,4.205649645005209,0.001521669959934333,-1.087996762270923,0.0035072217306302334,0.7139966305083506,0.008226016057803813,2.3189076891308886,0.0006791399418124655,-0.31725534690218343,0.001551964593188734,-0.046973939591822285,0.0035772394679407247,11333.333333333392,0.0,985.3574416916849,0.0,568.0191113148455,0.0,-0.019181190718991548,0.0,2.1726485448975317,0.03505845580433725,3.323661127174983,0.11390599142880627,2.786252202083166,0.09136746653442082,4.800274276542537,0.00606958416299853,0.0,0.0,0.0,0.0,2.3716374710887402,0.0027396120683782334,0.0,0.0,0.0,0.0,11333.333333333392,0.0,985.3574416916849,0.0,568.0191113148455,0.0,-0.019181190718991548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.282735664219267,0.0,0.0,0.0,0.0,0.0,2.3565513767325528,0.0,0.0,0.0,0.0,0.0,11333.333333333392,0.0,0.7235398614395746,0.0007195789089386286,0.0,0.0,0.0116848416832674,0.0006622996828347814,3.0,0.0,355.20854448943265,5.701770946069051,1.6577864597553604,0.023370971708147836,1.8865294605644698,0.04070862576732343,186.9450494808111,0.005634665229996971,0.9699269476901042,0.0,0.0,0.0,2023-12-07 05:26:49.049509593+00:00,2763.567987,-2763.567987
4,g,2023120600240,2023-12-07 06:24:31.773997056,13.622014447675388,14.947057228309294,0.0028457834204969,0.0040950237113336,-14.466677779575559,-13.170421453646384,0.0016430984598964885,0.0054220824703125284,r,2023120600245,2023-12-07 06:29:11.490004992,13.48546025285808,14.587926328875014,0.0022333667097962,0.0032944133759755,-14.41471561208594,-13.294751443020624,0.0017266262984363115,0.004843775643255166,279.716007,1.0570495480774924,1.0515015607027978,-1.3250427806339058,0.004986752698175382,-1.2962563259291748,0.005665575951638512,-1.1024660760169347,0.0039800862242208015,-1.119964169065316,0.005142314737221349,0.13655419481730924,0.0036175143588935404,-0.05196216748961824,0.002383487135137526,0.35913089943428034,0.005255699638315597,0.12432998937424067,0.007270566745244996,0.2225767046169711,0.00638034394253097,0.1762921568638589,0.007651284318363062,14.947057228309294,14.587926328875014,-13.170421453646384,-13.294751443020624,2620.0,2023-12-07 05:26:49.049509593+00:00,2023120600190.0,-64.0,2.0,1137.0,3.0,True,HD2811,0.0,holo4_003,0.12261808248483082,187.02516366922308,0.0,106.22897626537365,101.7510876358807,872.1437271783155,558.3381627049305,22.885610382856854,59.70932384767222,5.3164986564592605,0.9699269476901042,11.07093743131939,0.0,2.10580792040668,3.1.0,2.0,,60.0,2.10580792040668,-43.6151159559177,78.55843032659084,11.0249996185303,741.5,26.1749992370605,empty,74.19525500246101,-416.3757755489081,18.143727178315515,515.0,1652.0,854.0,899.0,1137.0,45.0,2.0,11333.333333333334,1.0,0.7294715180962752,0.00015889923791342485,1.0,0.0,0.0,0.0,0.017051630122923964,9.76374389684217e-05,3.0,0.0,329.4567602072431,0.9510944021440512,1.6525440837759413,0.0071933928842753,1.0,0.0,1.0,0.0,187.0831751942332,0.00167383817537226,0.16019151462089995,0.007565472069780003,-1.5868350450691442,0.0,0.1388933614017552,0.0,985.3574416916849,0.0,568.0191113148455,0.0,-0.019181190718991548,0.0,-0.29506334012459245,0.00028156427383762206,-0.1863628283058297,0.0006952453352877384,1.111277550097304,0.0015172071766250252,4.205649645005209,0.001521669959934333,-1.087996762270923,0.0035072217306302334,0.7139966305083506,0.008226016057803813,2.3189076891308886,0.0006791399418124655,-0.31725534690218343,0.001551964593188734,-0.046973939591822285,0.0035772394679407247,11333.333333333392,0.0,985.3574416916849,0.0,568.0191113148455,0.0,-0.019181190718991548,0.0,2.1726485448975317,0.03505845580433725,3.323661127174983,0.11390599142880627,2.786252202083166,0.09136746653442082,4.800274276542537,0.00606958416299853,0.0,0.0,0.0,0.0,2.3716374710887402,0.0027396120683782334,0.0,0.0,0.0,0.0,11333.333333333392,0.0,985.3574416916849,0.0,568.0191113148455,0.0,-0.019181190718991548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.282735664219267,0.0,0.0,0.0,0.0,0.0,2.3565513767325528,0.0,0.0,0.0,0.0,0.0,11333.333333333392,0.0,0.7235398614395746,0.0007195789089386286,0.0,0.0,0.0116848416832674,0.0006622996828347814,3.0,0.0,355.20854448943265,5.701770946069051,1.6577864597553604,0.023370971708147836,1.8865294605644698,0.04070862576732343,186.9450494808111,0.005634665229996971,0.9699269476901042,0.0,0.0,0.0,2023-12-07 05:26:49.049509593+00:00,3462.724488,-3462.724488
5,g,2023120600244,2023-12-07 06:28:24.706501120,13.619099742551178,14.933352800188809,0.0022142021867777,0.0035009640420941,-14.47827701578695,-13.177960633321028,0.0016521155599941465,0.005472263161807287,r,2023120600245,2023-12-07 06:29:11.490004992,13.48546025285808,14.587926328875014,0.0022333667097962,0.0032944133759755,-14.41471561208594,-13.294751443020624,0.0017266262984363115,0.004843775643255166,46.783503,1.0524196624369138,1.0515015607027978,-1.3142530576376306,0.00414239550839451,-1.3003163824659225,0.005716218149760194,-1.1024660760169347,0.0039800862242208015,-1.119964169065316,0.005142314737221349,0.13363948969309902,0.0031449353227621475,-0.06356140370101038,0.002389712157986114,0.3454264713137949,0.004807276642324857,0.11679080969959621,0.007308065858643111,0.21178698162069587,0.005744608507130769,0.1803522134006066,0.00768885887452044,14.933352800188809,14.587926328875014,-13.177960633321028,-13.294751443020624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,g,2023121100515,2023-12-12 05:50:21.164999936,13.618495761281796,14.908146646497295,0.0025393955441833,0.0038169004436037,-14.450017756286464,-13.154182142756216,0.0016416496979829228,0.005415202935637148,r,2023121100516,2023-12-12 05:51:08.016002048,13.458811967793466,14.57284242938705,0.0026785976609839,0.0037047698876062,-14.385532159214236,-13.28139426547191,0.001715954352717041,0.0047441770490618635,46.851002,1.076663239026454,1.0754998544246055,-1.289650885215499,0.00458445838962468,-1.2958356135302473,0.005658571954567743,-1.1140304615935843,0.004571674239219378,-1.104137893742326,0.005044969297572969,0.1596837934883304,0.003690991080894997,-0.06448559707222756,0.0023747658982510213,0.33530421711024516,0.005319215065824635,0.1272121227156937,0.0071994193312362705,0.17562042362191477,0.006474369782128775,0.19169771978792127,0.007580973010008312,14.908146646497295,14.57284242938705,-13.154182142756216,-13.28139426547191,2662.0,2023-12-12 05:15:13.704998371+00:00,2023121100484.0,-64.0,2.0,1137.0,3.0,True,HD2811,0.0,holo4_003,0.12166901849996685,186.96090520862683,0.0,107.40105277134434,100.35739351078549,871.5876569648113,558.3381627049305,3.1540966707190248,55.485521663515726,8.447829537439766,0.9430091633726628,9.002666810473285,0.0,2.20614060454653,3.1.0,2.0,,60.0,2.20614060454653,-43.6153020863945,80.57549783397262,14.25,741.2,24.3125,empty,73.12175749361299,-416.6636808797869,18.587656964811302,514.0,1651.0,853.0,898.0,1137.0,45.0,2.0,11333.333333333334,1.0,0.6817655281315655,0.0001613816779112513,1.0,0.0,0.0,0.0,0.007833381464960558,0.00010444716822843025,3.0,0.0,305.6327302264053,0.8905164351350562,2.4870501593305665,0.009241896626139843,1.0,0.0,1.0,0.0,186.89858294511964,0.0029036798002643528,1.3673815490556083,0.01119222690759465,-1.2711284736574535,0.0,0.12961721865464051,0.0,985.617901156321,0.0,568.0201246990714,0.0,-0.02008793518258507,0.0,-0.23005323195269148,0.0004142483615911615,-0.06173480408422478,0.001240919461933615,1.1554377368155506,0.0023402789522727614,7.833163062091442,0.0036225248568775978,-3.055862199692361,0.00831452345622432,1.1102097920999532,0.02021712996396851,2.9425997258734706,0.001430951655254357,-0.7028376269407203,0.0033468991076091746,0.0778309609551242,0.008092632257989679,11333.33333333339,0.0,985.617901156321,0.0,568.0201246990714,0.0,-0.02008793518258507,0.0,1.4725575305202299,0.04698960381949403,0.9967147756105921,0.1567855395317296,0.9330627090018315,0.1285267870141987,10.194605777349134,0.029009428880544495,0.0,0.0,0.0,0.0,3.6331556365017774,0.013419347027815177,0.0,0.0,0.0,0.0,11333.33333333339,0.0,985.617901156321,0.0,568.0201246990714,0.0,-0.02008793518258507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.962459684002286,0.0,0.0,0.0,0.0,0.0,2.988742290052191,0.0,0.0,0.0,0.0,0.0,11333.33333333339,0.0,0.6798809061965252,0.0006276599877856152,0.0,0.0,0.0039992402680131284,0.0005255393330344374,3.0,0.0,320.67529800284217,5.167975695093745,2.390829912152808,0.024885336517515278,1.7621588988333972,0.021692823159354155,186.93742721119162,0.004496247695813972,0.9430091633726628,0.0,0.0,0.0,2023-12-12 05:15:13.704998371+00:00,2107.460002,-2107.460002
7,g,2024022000259,2024-02-21 01:15:23.787005952,13.603207735586608,14.913348903729576,0.0030260023911778,0.0041757517014187,-14.436058866783679,-13.157566120874316,0.001746693593427389,0.005670401695078999,r,2024022000260,2024-02-21 01:16:10.696500992,13.4236124608579,14.568571850342206,0.0026489911309253,0.0037100574740182,-14.369613789812188,-13.267057939920978,0.001785507353430102,0.004929285616206988,46.909495,1.0705691724299975,1.069462546127722,-1.3101411681429678,0.005156897588988454,-1.2784927459093627,0.005933329073368093,-1.1449593894843062,0.004558692846884861,-1.1025558498912105,0.005242699037261062,0.17959527472870818,0.0040216718517470645,-0.06644507697149038,0.0024977940304343055,0.34477705338736975,0.005585823908110555,0.10949181904666183,0.00751340881821959,0.16518177865866157,0.00688296979621109,0.1759368960181522,0.007917719816220649,14.913348903729576,14.568571850342206,-13.157566120874316,-13.267057939920978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,g,2024022000271,2024-02-21 01:27:16.840491008,13.642118577724382,14.941846233847563,0.0025695914302878,0.0037905332993167,-14.45887933898061,-13.14389888047192,0.0017238251484909886,0.005787425262055128,r,2024022000272,2024-02-21 01:28:03.793499904,13.449041835308222,14.583690205028672,0.0027855196478352,0.003732158062195,-14.395869895385623,-13.274035233930528,0.0017695639740525923,0.004972790151142562,46.953008,1.0551607317643272,1.0542103950278223,-1.2997276561231814,0.004579404198346904,-1.3149804585086908,0.006038697235865021,-1.1346483697204501,0.0046570509455752225,-1.121834661455095,0.005278257150382621,0.19307674241616013,0.003789712367328745,-0.0630094435949875,0.0024704108566865517,0.3581560288188914,0.0053195062265623755,0.1301363534586084,0.007630395340424659,0.16507928640273128,0.006531390841277248,0.1931457970535959,0.0080203405695774,14.941846233847563,14.583690205028672,-13.14389888047192,-13.274035233930528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,g,2024022000299,2024-02-21 01:54:21.337007104,13.636922792198847,14.929747595512657,0.0026100044849515,0.0038390653979629,-14.45635417994483,-13.168728704004113,0.001798339082403476,0.005887375999289899,r,2024022000300,2024-02-21 01:55:07.987496960,13.49594364856431,14.605267878344629,0.0026849484099089,0.0036837459264048,-14.38566659549844,-13.282117107805355,0.001854315371036956,0.00512393242298692,46.650489,1.0278287265258623,1.027214782668205,-1.2928248033138097,0.004642256621655354,-1.2876254759407164,0.006155909324568915,-1.1093242297803183,0.0045583913844882045,-1.1035494876930851,0.0054491438750138114,0.1409791436345369,0.0037444721090347673,-0.07068758444638945,0.0025831200031287164,0.32447971716802826,0.005320564554644554,0.11338840380124182,0.0078048625633223906,0.18350057353349136,0.0065061108625260365,0.18407598824763127,0.008221215760635106,14.929747595512657,14.605267878344629,-13.168728704004113,-13.282117107805355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
