,idx_pair,idx_obj1,idx_obj2,sep,refcol_psf_md,n_refcol_psf,refcol_ap_md,n_refcol_ap,muclip,sigmaclip,nclip,magmax
0,0.0,141.0,907.0,7.0,0.24579152656262426,54.0,0.24132080202129735,54.0,0.2432193378465034,0.021885012029588417,54.0,16.32473499855753
1,1.0,654.0,669.0,10.0,0.2012480744244316,14.0,0.1974765560766043,14.0,0.19742754308218746,0.009259515002242443,14.0,15.166812293434807
2,2.0,111.0,262.0,16.0,0.3901042711464946,102.0,0.3961706573261967,102.0,0.39651423720418316,0.01574357588522412,102.0,15.853042793548587
3,3.0,813.0,950.0,16.0,0.5163372586591368,48.0,0.5199008469293114,48.0,0.5202057423031113,0.026406079363935433,48.0,16.395163896668173
4,4.0,64.0,262.0,18.0,0.3348233255009463,96.0,0.3403531756696667,96.0,0.3407137886231968,0.01413665625276935,96.0,15.777517924985546
5,5.0,118.0,131.0,22.0,0.10256657394889324,123.0,0.10179566818411523,123.0,0.101046497565343,0.01390070939955963,123.0,15.70259511119488
6,6.0,824.0,948.0,22.0,0.40821634594531275,9.0,0.4308115764865441,9.0,0.4279236777813657,0.013185824200167603,9.0,15.811138717430474
7,7.0,217.0,272.0,25.0,0.18956924981342915,85.0,0.19282781638232294,85.0,0.1931059164786233,0.015251095522479012,85.0,15.58165697019165
8,8.0,610.0,813.0,25.0,0.4963337270907182,44.0,0.5039418159266136,44.0,0.505372196871991,0.03337753199017296,44.0,16.554826074130894
9,9.0,538.0,550.0,26.0,0.34482960382591443,6.0,0.33171608067209135,6.0,0.3319235940928896,0.006310051635812085,6.0,14.921190699127887
10,10.0,618.0,621.0,29.0,0.11637883998298637,4.0,0.09410811795523522,4.0,0.09892470198230408,0.011655674410034421,4.0,15.239945978207153
11,11.0,150.0,257.0,30.0,0.8366839082597171,108.0,0.8483721561925606,108.0,0.8490975339603508,0.01145327972271719,108.0,15.200920365816659
12,12.0,180.0,385.0,30.0,0.16080476055181947,22.0,0.15748337108471855,22.0,0.15452151940579578,0.019351202046800776,22.0,16.313786821048758
13,13.0,101.0,118.0,30.0,0.664831352189994,98.0,0.677029517678398,98.0,0.6754589893430589,0.01750201405273688,98.0,15.702177296497965
