,band1,exposure1,time1,psfMag11,psfMag12,psfMagErr11,psfMagErr12,apMag11,apMag12,apMagErr11,apMagErr12,band2,exposure2,time2,psfMag21,psfMag22,psfMagErr21,psfMagErr22,apMag21,apMag22,apMagErr21,apMagErr22,dt,airmassb1,airmassb2,x11,y11,x12,y12,x21,y21,x22,y22,deltapsfmag_s12b1,deltapsfmagErr_s12b1,deltaapmag_s12b1,deltaapmagErr_s12b1,deltapsfmag_s12b2,deltapsfmagErr_s12b2,deltaapmag_s12b2,deltaapmagErr_s12b2,psfcol12_s1,psfcol12Err_s1,apcol12_s1,apcol12Err_s1,psfcol12_s2,psfcol12Err_s2,apcol12_s2,apcol12Err_s2,psfcol12_s12,psfcol12Err_s12,apcol12_s12,apcol12Err_s12,psfmagmax_s12b1,psfmagmax_s12b2,apmagmax_s12b1,apmagmax_s12b2,index,DATE-OBS,id,BITPIX,NAXIS,NAXIS1,NAXIS2,EXTEND,TARGET,REDSHIFT,GRATING,ROTANGLE,D2CCD,LSHIFT,PARANGLE,TARGETX,TARGETY,LBDA_REF,PSF_REG,TRACE_R,MEANFWHM,PIXSHIFT,CHI2_FIT,A2_FIT,AM_FIT,VERSION,CCD_REBIN,CONFIG,EXPTIME,AIRMASS,DEC,HA,OUTTEMP,OUTPRESS,OUTHUM,FILTER,CAM_ROT,S_X0,S_Y0,S_XMIN,S_XMAX,S_YMIN,S_YMAX,S_NX,S_NY,S_DEG,S_SAT,S_ORDER,A1_x,A1_err_x,A2_x,A2_err_x,A3,A3_err,VAOD_x,VAOD_err_x,angstrom_exp_x,angstrom_exp_err_x,ozone [db]_x,ozone [db]_err_x,PWV [mm]_x,PWV [mm]_err_x,B_x,B_err_x,A_star,A_star_err,D_CCD [mm]_x,D_CCD [mm]_err_x,shift_x [pix],shift_x [pix]_err,shift_y [pix],shift_y [pix]_err,angle [deg],angle [deg]_err,x_c_0_1,x_c_0_1_err,x_c_1_1,x_c_1_1_err,x_c_2_1,x_c_2_1_err,y_c_0_1,y_c_0_1_err,y_c_1_1,y_c_1_1_err,y_c_2_1,y_c_2_1_err,gamma_0_1,gamma_0_1_err,gamma_1_1,gamma_1_1_err,gamma_2_1,gamma_2_1_err,alpha_0_1,alpha_0_1_err,alpha_1_1,alpha_1_1_err,alpha_2_1,alpha_2_1_err,saturation_0_1,saturation_0_1_err,x_c_0_2,x_c_0_2_err,x_c_1_2,x_c_1_2_err,x_c_2_2,x_c_2_2_err,y_c_0_2,y_c_0_2_err,y_c_1_2,y_c_1_2_err,y_c_2_2,y_c_2_2_err,gamma_0_2,gamma_0_2_err,gamma_1_2,gamma_1_2_err,gamma_2_2,gamma_2_2_err,alpha_0_2,alpha_0_2_err,alpha_1_2,alpha_1_2_err,alpha_2_2,alpha_2_2_err,saturation_0_2,saturation_0_2_err,x_c_0_3,x_c_0_3_err,x_c_1_3,x_c_1_3_err,x_c_2_3,x_c_2_3_err,y_c_0_3,y_c_0_3_err,y_c_1_3,y_c_1_3_err,y_c_2_3,y_c_2_3_err,gamma_0_3,gamma_0_3_err,gamma_1_3,gamma_1_3_err,gamma_2_3,gamma_2_3_err,alpha_0_3,alpha_0_3_err,alpha_1_3,alpha_1_3_err,alpha_2_3,alpha_2_3_err,saturation_0_3,saturation_0_3_err,A1_y,A1_err_y,A2_y,A2_err_y,VAOD_y,VAOD_err_y,angstrom_exp_y,angstrom_exp_err_y,ozone [db]_y,ozone [db]_err_y,PWV [mm]_y,PWV [mm]_err_y,reso [nm],reso [nm]_err,D_CCD [mm]_y,D_CCD [mm]_err_y,alpha_pix [pix],alpha_pix [pix]_err,B_y,B_err_y,Time,dt_abs_specphot,td_rel_specphot
0,z,2023120600262,2023-12-07 06:45:23.749008896,13.335035269408516,14.233164116601902,0.0026387814150675,0.0036369410907876,-14.031696970324159,-13.202515717682097,0.0023215330985859,0.004982500843908934,y,2023120600263,2023-12-07 06:46:11.724989952,12.998056578541757,14.107706627175917,0.0038798058482691,0.0063421237038782,-13.243512439186688,-12.164826623935083,0.004087836597919448,0.011039968992965324,47.975981,1.0342977647951204,1.0335756863322787,477.3879929236553,1650.7913665077413,943.527109613797,299.56867420949413,469.8399239832606,1650.2957744285377,936.0830118063049,298.8174392166742,-0.8981288471933855,0.004493384899423255,-0.8291812526420621,0.005496801850838639,-1.10965004863416,0.007434744548103643,-1.078685815251605,0.011772481616758866,0.3369786908667596,0.004692127532023053,-0.7881845311374711,0.004701055623912516,0.125457489425985,0.007310942044165925,-1.037689093747014,0.01211223472465709,0.21152120144077458,0.008687113119438573,0.2495045626095429,0.01299254224562339,14.233164116601902,14.107706627175917,-13.202515717682097,-12.164826623935083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,z,2024031400227,2024-03-15 05:03:50.771003904,13.314738400541644,14.1810760359859,0.002805539520718,0.0038670327379471,-14.006683446823587,-13.165513724262377,0.002312805897387185,0.005018883040963752,y,2024031400228,2024-03-15 05:04:38.799990016,12.941990161647643,14.08988366727242,0.0044601946657835,0.0070570133915816,-13.197839886043623,-12.127887226242056,0.004181369944245707,0.011202105464860845,48.028986,1.4527385500950702,1.4570118938637804,470.9329630575633,2851.5496899773448,937.4521671425864,1500.1517351754196,460.2927689315116,2852.18422278486,927.1155119609892,1500.7141573007652,-0.8663376354442551,0.004777551067091301,-0.8411697225612098,0.005526143148513483,-1.1478935056247774,0.008348339623281124,-1.069952659801567,0.011957049027937726,0.3727482388940011,0.005269192391533467,-0.8088435607799642,0.004778381078318292,0.0911923687134788,0.008047072772463082,-1.0376264980203214,0.012275029687326168,0.2815558701805223,0.009618719699851475,0.22878293724035714,0.013172292114676513,14.1810760359859,14.08988366727242,-13.165513724262377,-12.127887226242056,3121.0,2024-03-15 05:24:36.211006237+00:00,2024031400247.0,-64.0,2.0,1136.0,3.0,True,HD185975,-6.5e-05,holo4_003,0.12607632139625424,187.10270954096,0.0,-124.58035480923299,105.78023204799213,877.2652303285182,619.6434547793207,18.869048466628072,60.16021637190617,4.923119438873688,1.117712314954241,7.010497910886793,0.0,2.07326691828503,3.1.0,2.0,,60.0,2.07326691828503,-87.4715268782969,-123.39214868138947,18.4249992370605,742.85,3.57500004768372,empty,-54.46802518808198,-417.7141592624414,19.265230328518257,520.0,1656.0,858.0,903.0,1136.0,45.0,2.0,11333.333333333334,1.0,0.726194007698867,0.0002674843938191406,1.0,0.0,0.0,0.0,0.0013296325979097927,0.00022730835592267297,1.6093326822005762,0.0,276.19864396140304,1.1199258521098638,2.098576458989845,0.008125146652660897,1.0,0.0,1.0,0.0,187.06825041372352,0.0035215133865920847,0.5404496810920774,0.017309929110719855,-0.39799200855782507,0.0,0.13194064163524308,0.0,986.3368228466037,0.0,567.5195557099653,0.0,-0.01927993798540321,0.0,-0.1577895791573308,0.0003012671561327209,-0.07326319340090315,0.0006678375551577298,0.9502525808539056,0.0016890981876266477,3.74378980000555,0.0014732687183299379,-1.65981908706688,0.0032081495988227045,0.6837630122461805,0.008384483309901289,2.148985901734849,0.0006428228425450175,-0.40410056912820624,0.0013811171515629615,-0.04036540173176392,0.0035710094764404504,11333.333333333369,0.0,986.3368228466037,0.0,567.5195557099653,0.0,-0.01927993798540321,0.0,0.8672249128185604,0.06871350242135801,-2.42589736673667,0.22561544686524249,-2.746714674993305,0.1831425850306635,4.11603997247078,0.008929236235268883,0.0,0.0,0.0,0.0,2.0668245759113613,0.003504523715424108,0.0,0.0,0.0,0.0,11333.333333333369,0.0,986.3368228466037,0.0,567.5195557099653,0.0,-0.01927993798540321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.80195923184196,0.0,0.0,0.0,0.0,0.0,2.174644652809531,0.0,0.0,0.0,0.0,0.0,11333.333333333369,0.0,0.7294356185248085,0.0006946842563337739,0.0,0.0,0.0023773003353126107,0.0005699380907139847,3.0,0.0,305.8188153298477,5.533517576783267,2.1581170563888836,0.02844936325048658,1.9455308363354624,0.0424410543177904,186.84607227414014,0.007692102597162474,1.117712314954241,0.0,0.0,0.0,2024-03-15 05:24:36.211006237+00:00,1245.440002,1245.440002
2,z,2024032100235,2024-03-22 04:27:56.713491968,13.304710788083575,14.171126165815693,0.0026405971924513,0.0036707041475948,-13.984351962823297,-13.159809734499301,0.0023523778875092663,0.0050271747228139724,y,2024032100236,2024-03-22 04:28:44.438507008,13.050416189961949,14.13193509010745,0.0044962250876228,0.0070308862364112,-13.118477471375922,-12.04028551003219,0.004336152789005548,0.011705267988116509,47.725015,1.4099796079555904,1.4138760363883895,521.1241443840998,3263.14060676338,987.7756622362432,1911.91580313406,509.6920796104352,3264.4619560910387,976.4846773715996,1913.164318640134,-0.8664153777321175,0.004521816280207695,-0.8245422283239954,0.005550330388305033,-1.0815189001455021,0.00834562168492708,-1.078191961343732,0.012482608689021126,0.2542945981216267,0.005214287446176164,-0.865874491447375,0.004933143291578216,0.039191075708242096,0.007931420440786513,-1.1195242244671118,0.01273914378470252,0.2151035224133846,0.009491903064184572,0.2536497330197367,0.013660954838610951,14.171126165815693,14.13193509010745,-13.159809734499301,-12.04028551003219,3146.0,2024-03-22 05:06:55.780495228+00:00,2024032100277.0,-64.0,2.0,1136.0,3.0,True,HD185975,-6.5e-05,holo4_003,0.12471864256551642,187.0644543375152,0.0,-122.34940034865272,99.32987505560823,877.1898629771661,619.6434547793207,0.8574730683694836,215.17948408166373,4.096621613892511,1.1504489276707996,40.11796684669799,0.0,2.06770726694565,3.1.0,2.0,,60.0,2.06770726694565,-87.4667273859,-121.12635917456348,15.5249996185303,744.95,19.1375007629395,empty,-56.88332191726897,-417.2088685532895,19.1898629771661,513.0,1649.0,858.0,903.0,1136.0,45.0,2.0,11333.333333333334,1.0,0.7026300586075483,0.00019859218430906482,1.0,0.0,0.0,0.0,0.0,0.0001641923230653911,2.2385502456849644,0.0,296.3384406346725,1.158977826518274,7.300485006952485,0.015754670607339732,1.0,0.0,1.0,0.0,186.93517103978158,0.0025002862087904936,1.1078720032581795,0.012334928904013207,-0.4198048636171963,0.0,0.1415212037773833,0.0,985.8638588146739,0.0,567.5196249880779,0.0,-0.019342461673029054,0.0,-0.18849600723988297,0.00022868958658448502,-0.16365467384262572,0.00046123766322609495,1.0997598488626468,0.0012122605746143406,3.9970776422661776,0.001602461261469284,-3.1504065913903174,0.00374949037205444,-0.054357175999939646,0.007686198160563019,2.995879772129538,0.0011989672233779117,-1.4888332173147694,0.002810550424237838,-0.4604927895123194,0.005554292859746886,11333.333333333369,0.0,985.8638588146739,0.0,567.5196249880779,0.0,-0.019342461673029054,0.0,2.930624822754225,0.036499308836453914,5.104488437755376,0.12019677991984928,4.028574325665478,0.09791416777863567,3.4641311262793075,0.005960221087085641,0.0,0.0,0.0,0.0,2.5474993742109935,0.004254176017853185,0.0,0.0,0.0,0.0,11333.333333333369,0.0,985.8638588146739,0.0,567.5196249880779,0.0,-0.019342461673029054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2130733718162245,0.0,0.0,0.0,0.0,0.0,3.1608656266355135,0.0,0.0,0.0,0.0,0.0,11333.333333333369,0.0,0.8658020817960003,0.0007396964730675746,0.0,0.0,0.1,0.0,0.05282968736193652,0.010140608905982484,344.2601154499333,5.6069428903992735,7.485806607179226,0.04802171040960782,1.8253847291337908,0.025800697285351323,186.80703932179054,0.00409028569443721,1.1504489276707996,0.0,0.0,0.0,2024-03-22 05:06:55.780495228+00:00,2339.067003,2339.067003
3,z,2024032700338,2024-03-28 03:02:30.584496896,13.330204049937253,14.17107365752991,0.0027262992277117,0.0037315499744896,-13.990141927193221,-13.19820184989794,0.002401397524509291,0.004980123233288654,y,2024032700339,2024-03-28 03:03:18.256003072,12.970652306757074,14.110763340483288,0.0042362683495756,0.0067221307204705,-13.174725386271948,-12.108137977478588,0.0043110718228056965,0.011513840841653054,47.671506,1.1840788835188916,1.18618850982288,289.1990008693387,1750.5939431102083,755.5121706909766,399.0746955432684,279.68880539597865,1748.978160240918,746.2937924988133,397.77499925884985,-0.8408696075926567,0.004621382119143011,-0.7919400772952816,0.005528864032462798,-1.140111033726214,0.007945628417734447,-1.0665874087933602,0.012294465063121174,0.35955174318017846,0.005037725380430873,-0.815416540921273,0.004934779663987905,0.060310317046621265,0.007688400785287313,-1.0900638724193517,0.012544726316092325,0.2992414261335572,0.009191854200532337,0.27464733149807863,0.013480438000219721,14.17107365752991,14.110763340483288,-13.19820184989794,-12.108137977478588,3200.0,2024-03-28 02:51:07.862001823+00:00,2024032700328.0,-64.0,2.0,1137.0,3.0,True,HD38666,0.000364,holo4_003,0.17646695736684875,186.92725932894663,0.0,108.71394945394044,97.17944515593281,867.741579063594,507.1250537007472,5.413508968858451,130.1912656359711,5.363896059090917,0.9662846009318146,182.2536515277596,0.0,1.97532891583091,3.1.0,2.0,,30.0,1.97532891583091,-32.3270150150411,71.2465359528783,14.25,745.1,28.8250007629395,empty,71.51985747977201,-416.87701514746533,16.741579063594074,511.0,1648.0,851.0,896.0,1137.0,45.0,2.0,22666.666666666668,1.0,0.71555557753581,0.00013108286021661723,1.0,0.0,0.0,0.0,0.00048437109742784264,7.460907989019646e-05,3.0,0.0,282.1132652039489,0.6983194097609445,5.112253785921937,0.012818646656988838,1.0,0.0,1.0,0.0,186.80962843847726,0.0017267272319540917,1.9590394321325675,0.0047282652120794535,-2.3407579846695667,0.0,0.17776336276263033,0.0,985.8694442104412,0.0,568.0234923956172,0.0,-0.024120501876639024,0.0,-0.4448888355009217,0.00023820224937084623,-0.17992717417474222,0.0008066268091129949,1.6839183765581403,0.0013251436502473813,4.938947345177168,0.0011235311755142113,-2.3137470166348124,0.0023845675166256457,-0.5369857816746056,0.005052684664489558,2.2925820671917796,0.0003952942406771153,-0.6546520518026507,0.000819459529255548,-0.5395455193453286,0.0016747466913287182,22666.666666666784,0.0,985.8694442104412,0.0,568.0234923956172,0.0,-0.024120501876639024,0.0,-8.835571418027355,0.01508111024914386,-29.148553757368237,0.04977495613024179,-21.05718664760659,0.040459899967734914,8.26746566509013,0.007492464056165917,0.0,0.0,0.0,0.0,3.4773472206580496,0.003843084225822447,0.0,0.0,0.0,0.0,22666.666666666784,0.0,985.8694442104412,0.0,568.0234923956172,0.0,-0.024120501876639024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.06825540354297,0.0,0.0,0.0,0.0,0.0,2.316955329379241,0.0,0.0,0.0,0.0,0.0,22666.666666666784,0.0,0.9023407470876582,0.001582440765608989,0.0,0.0,0.1,0.0,0.9537384207982843,0.0488231712261765,600.0,11.950090912761613,0.0,0.026313445354008255,4.853282188263175,0.4256252774745704,187.51054340964365,0.04574471804781719,0.9662846009318146,0.0,0.0,0.0,2024-03-28 02:51:07.862001823+00:00,682.722496,-682.722496
4,z,2024032700402,2024-03-28 04:04:11.558006016,13.343319277268616,14.190441582583055,0.0028012448502813,0.0038256477070187,-13.988207619960686,-13.169788480895079,0.0023403312595338243,0.00497330379639462,y,2024032700403,2024-03-28 04:04:59.296499968,12.988803586854608,14.076320487733025,0.0043866294663531,0.0071812319376759,-13.136976075668414,-12.087269044526165,0.004294026814724734,0.011291394070707466,47.738493,1.409019851390819,1.4129105389939982,237.29506617072505,3221.239807006736,704.0558058563203,1870.04128125694,227.13746845512105,3220.733028312523,693.4261210656329,1869.8611444394453,-0.8471223053144392,0.0047415770677534,-0.8184191390656075,0.005496444401209232,-1.0875169008784162,0.008415022888725476,-1.0497070311422494,0.012080324761594067,0.3545156904140079,0.00520475655399028,-0.851231544292272,0.004890380014878825,0.11412109485003086,0.008136686827014654,-1.082519436368914,0.012338125088976883,0.24039459556397702,0.009658942142244076,0.2312878920766419,0.013271968482526134,14.190441582583055,14.076320487733025,-13.169788480895079,-12.087269044526165,3201.0,2024-03-28 04:48:41.313000659+00:00,2024032700451.0,-64.0,2.0,1136.0,3.0,True,HD185975,-6.5e-05,holo4_003,0.12222384791337676,187.07075346855842,0.0,-120.89819509051947,101.9629232199573,883.9697676722243,619.6434547793207,14.827314520012534,58.96553942741943,6.207970752954662,1.1273716076910374,7.600239179313752,0.0,2.06449596311724,3.1.0,2.0,,60.0,2.06449596311724,-87.4578912918773,-119.65060557463744,13.8500003814697,745.25,31.5750007629395,empty,-58.198224186150014,-417.60888098775143,18.96976767222428,516.0,1652.0,865.0,910.0,1136.0,45.0,2.0,11333.333333333334,1.0,0.709642082653588,0.0002958285232281738,1.0,0.0,0.0,0.0,0.0,0.000252725041767234,1.3891721022395251,0.0,288.2046940591635,1.0890893868299838,4.7359423291024925,0.012352997620179726,1.0,0.0,1.0,0.0,187.1200513116917,0.0019305239178333644,0.22837871535613213,0.011842459817420048,-0.12426644740073248,0.0,0.1251968478710116,0.0,986.2405027645889,0.0,567.5193515653914,0.0,-0.01906265530165667,0.0,-0.15515862288199503,0.0003488288154664368,-0.03303008468629908,0.0008319818548339714,1.022848525676714,0.0020461175090530515,5.3996053225796246,0.0024175080386810324,-2.5846919542069413,0.0054297981783894365,0.7162555098591801,0.014343975470030502,2.593459665169496,0.0010912837252772466,-0.6710012444735984,0.0024323897298298156,-0.032090287301527694,0.0064203636858634104,11333.333333333369,0.0,986.2405027645889,0.0,567.5193515653914,0.0,-0.01906265530165667,0.0,0.02380964355824873,0.07989620397164772,-6.146409863210223,0.2640631478598483,-6.515177399973979,0.2154862116921854,5.413209774122525,0.015293858492316913,0.0,0.0,0.0,0.0,2.331617921027222,0.0060033352013768755,0.0,0.0,0.0,0.0,11333.333333333369,0.0,986.2405027645889,0.0,567.5193515653914,0.0,-0.01906265530165667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5051417954448985,0.0,0.0,0.0,0.0,0.0,2.6436616505523913,0.0,0.0,0.0,0.0,0.0,11333.333333333369,0.0,0.7149498504039776,0.001019497428262535,0.0,0.0,0.0022929735475121,0.0008652203759427127,1.6105192019301804,0.0,308.2813258173665,5.571859546932786,5.054523891889835,0.04331792851780297,2.7204286348767774,0.03732306635944376,186.8042389727266,0.005553443108951066,1.1273716076910374,0.0,0.0,0.0,2024-03-28 04:48:41.313000659+00:00,2669.754994,2669.754994
5,z,2024040200528,2024-04-03 04:11:19.569491968,13.328675905947325,14.153846820082627,0.0027407265930139,0.0037370782676282,-13.966395501086614,-13.159626296070233,0.0023320507743503954,0.004902817006013104,y,2024040200529,2024-04-03 04:12:07.631994112,12.977909751362713,14.086561689672193,0.0045061867355539,0.0071219912531288,-13.103593353204186,-12.048778961792292,0.004359726425971566,0.011518210060142132,48.062502,1.5857501541979375,1.5911571849766932,461.2883493969776,2888.589983240452,927.6231248488076,1537.4509793688594,450.8507089993539,2888.0529201243176,917.4276458971196,1536.8743925624456,-0.8251709141353025,0.004634364706843061,-0.8067692050163817,0.005429187361714419,-1.10865193830948,0.008427839480277555,-1.0548143914118935,0.012315696387085637,0.3507661545846119,0.005274210950780741,-0.8628021478824284,0.004944256801933237,0.06728513041043449,0.00804291697010619,-1.1108473342779401,0.012518257769514521,0.2834810241741774,0.009617994309696676,0.24804518639551176,0.013459288722197534,14.153846820082627,14.086561689672193,-13.159626296070233,-12.048778961792292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,z,2024040400331,2024-04-05 02:52:16.069495040,13.32144701127871,14.20681858286452,0.0027948400802079,0.0037603010779255,-13.989301464924841,-13.210884324145574,0.002406622241257525,0.004929181187590777,y,2024040400332,2024-04-05 02:53:04.780005120,12.977823349435775,14.111396026550931,0.0050571459783249,0.0071740806253212,-13.162921367115871,-12.113494033218553,0.004389825143940773,0.01154032807257035,48.71051,1.2466703657637874,1.2493295978817105,358.95501990427164,1562.0447015542522,825.1800637675987,210.96503087471805,347.15414102239527,1561.3840881932335,813.7160320761411,210.09769946636936,-0.885371571585809,0.004685188925815498,-0.7784171407792666,0.00548531291652666,-1.133572677115156,0.008777366248750062,-1.0494273338973183,0.012347053770715098,0.34362366184293514,0.005778049542884191,-0.8263800978089701,0.005006235652313025,0.0954225563135882,0.008099833147371414,-1.097390290927022,0.012548944146925433,0.24820110552934693,0.009949530317320559,0.27101019311805175,0.013510677059612673,14.20681858286452,14.111396026550931,-13.210884324145574,-12.113494033218553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,z,2024041600400,2024-04-17 02:27:41.482002944,13.301209411723026,14.160217716968155,0.0026858855318936,0.0037268672747529,-13.986265963954327,-13.181355010424664,0.0023293428607356606,0.0048887496666162504,y,2024041600401,2024-04-17 02:28:29.882505984,12.97170763644472,14.05462781150322,0.0046554843629159,0.0072338226360314,-13.10911028040306,-12.036759344024205,0.004370264635122529,0.011734054753697041,48.400503,1.329281069486386,1.3325801844133711,239.0421421292516,2971.8819690092737,705.8485405842148,1620.3187003119583,228.13600096321733,2971.861861271701,694.8961806791094,1620.3095010746565,-0.8590083052451298,0.004593856851716156,-0.8049109535296637,0.0054153219170886505,-1.0829201750585007,0.008602425505804439,-1.0723509363788555,0.012521471716366363,0.32950177527830604,0.005374710759081816,-0.8771556835512673,0.004952277369439523,0.10558990546493519,0.008137427702485866,-1.144595666400459,0.012711723497055804,0.22391186981337086,0.009752191823224881,0.2674399828491918,0.01364232258119795,14.160217716968155,14.05462781150322,-13.181355010424664,-12.036759344024205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,z,2024041700387,2024-04-18 02:14:24.155995904,13.32074333740222,14.183774177712804,0.0025813177909414,0.0036315266376355,-13.992979553958083,-13.183109072872014,0.002355165382173418,0.004965575637153742,y,2024041700388,2024-04-18 02:15:12.850500096,12.993896339694688,14.052762031432458,0.0044491631839814,0.006975673941049,-13.119193574308468,-12.044900893339946,0.004470081152269406,0.012023543529100858,48.694504,1.2928796162668126,1.295907049153888,381.4160324613751,2978.3887082584124,848.1660144084087,1626.812921962393,371.4087830390787,2977.8432613116324,838.0720137380894,1626.6172455146457,-0.863030840310584,0.004455467120032061,-0.8098704810860688,0.005495793426401947,-1.0588656917377701,0.008273758515301592,-1.0742926809685223,0.012827596209113275,0.32684699770753234,0.0051437587983425214,-0.8737859796496146,0.005052566623535235,0.1310121462803462,0.007864350745718701,-1.138208179532068,0.013008556430460604,0.19583485142718615,0.009397141439140543,0.2644221998824534,0.013955320486815779,14.183774177712804,14.052762031432458,-13.183109072872014,-12.044900893339946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,z,2024041700419,2024-04-18 02:45:35.373997056,13.312421284453356,14.115707932027346,0.0026998394205739,0.0036540111661452,-13.982557349671364,-13.197423269450963,0.0024561241683108232,0.005061787985914237,y,2024041700420,2024-04-18 02:46:23.247499008,13.022028387698448,14.097510095767756,0.0043363593004178,0.0067780436731857,-13.093132565549181,-12.039830918064293,0.004704417233128437,0.012411563432526584,47.873501,1.4290645710624987,1.4331312138096728,348.15249639691467,1488.3275786799277,814.7875756676412,137.07901588917468,337.4399670900811,1487.9682168699678,804.2099056461184,136.67081522437027,-0.8032866475739908,0.004543229082843899,-0.7851340802204003,0.005626210407059644,-1.075481708069308,0.0080464829595254,-1.0533016474848882,0.013273222982493246,0.2903928967549074,0.005108144954795699,-0.8894247841221823,0.005306984777961621,0.01819783625959026,0.0077002385442222826,-1.1575923513866702,0.013404051792423693,0.27219506049531716,0.009240498824042523,0.26816756726448787,0.014416403569805237,14.115707932027346,14.097510095767756,-13.197423269450963,-12.039830918064293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
