,mjd,res
0,59215.0,-23.023503714184926
1,59215.041666666664,-22.82070218990455
2,59215.083333333336,-22.056587896615497
3,59215.125,-22.421739784794624
4,59215.166666666664,-24.193472189904554
5,59215.208333333336,-24.7258643576358
6,59215.25,-24.36912905699708
7,59215.291666666664,-23.552517812268775
8,59215.333333333336,-22.314376889265816
9,59215.375,-21.67073873527164
10,59215.416666666664,-20.18927821834086
11,59215.458333333336,-19.810031351248398
12,59215.5,-22.054993993737014
13,59215.541666666664,-20.56866785444211
14,59215.583333333336,-20.392818497892932
15,59215.625,-20.568241309075034
16,59215.666666666664,-20.749471910352526
17,59215.708333333336,-20.127763518979663
18,59215.75,-21.68476339245956
19,59215.791666666664,-19.797721952525904
20,59215.833333333336,-19.977370022173346
21,59215.875,-18.831532553803356
22,59215.916666666664,-18.182320707797572
23,59215.958333333336,-18.55823098734959
24,59216.0,-17.35411388287838
25,59216.041666666664,-18.651167295337984
26,59216.083333333336,-21.471735924089558
27,59216.125,-21.375963840705026
28,59216.166666666664,-23.930327812268757
29,59216.208333333336,-23.930830064346708
30,59216.25,-22.08208991131471
31,59216.291666666664,-24.24044568671087
32,59216.333333333336,-23.941155686710857
33,59216.375,-22.131890470418853
34,59216.416666666664,-23.42194725316463
35,59216.458333333336,-21.960046736233835
36,59216.5,-23.377228540066312
37,59216.541666666664,-23.984071630800457
38,59216.583333333336,-22.94352761706341
39,59216.625,-22.400028260514233
40,59216.666666666664,-23.757989420895825
41,59216.708333333336,-23.88203287552878
42,59216.75,-24.148837896615476
43,59216.791666666664,-25.01557038607214
44,59216.833333333336,-26.964826847092468
45,59216.875,-25.144559183517174
46,59216.916666666664,-25.152591309075007
47,59216.958333333336,-23.76615697361254
48,59217.0,-23.49973098734958
49,59217.041666666664,-23.183423798531663
50,59217.083333333336,-23.468477490543336
51,59217.125,-23.534790903002857
52,59217.166666666664,-23.153414357635796
53,59217.208333333336,-21.85101476370798
54,59217.25,-22.18477909917044
55,59217.291666666664,-20.657144484155907
56,59217.333333333336,-20.006189420895822
57,59217.375,-15.498749225690545
58,59217.416666666664,-14.272176330161727
59,59217.458333333336,-11.829214162430446
60,59217.5,-9.667356092782995
61,59217.541666666664,-8.687998302687618
62,59217.583333333336,-8.849976736233828
63,59217.625,-11.154520665624204
64,59217.666666666664,-11.336734805881349
65,59217.708333333336,-12.781801672973813
66,59217.75,-14.584325085433363
67,59217.791666666664,-16.83665592408957
68,59217.833333333336,-14.227698624413023
69,59217.875,-14.5421729598755
70,59217.916666666664,-14.800085085433352
71,59217.958333333336,-13.910173561153016
72,59218.0,-13.410705085433364
73,59218.041666666664,-12.603442917702154
74,59218.083333333336,-13.10108347680631
75,59218.125,-11.226533002048882
76,59218.166666666664,-12.736890428245488
77,59218.208333333336,-12.607653603326384
78,59218.25,-13.652372274251263
79,59218.291666666664,-13.304932274251257
80,59218.333333333336,-12.375208861791748
81,59218.375,-12.046433518979654
82,59218.416666666664,-11.482939505242541
83,59218.458333333336,-11.812156008436318
84,59218.5,-11.225542274251268
85,59218.541666666664,-12.104933155080857
86,59218.583333333336,-12.65365504325996
87,59218.625,-12.325351994699247
88,59218.666666666664,-11.761815813230953
89,59218.708333333336,-13.308544805881326
90,59218.75,-12.96027235859799
91,59218.791666666664,-12.971959547415906
92,59218.833333333336,-15.279853434632912
93,59218.875,-13.861824484155903
94,59218.916666666664,-15.160925085433348
95,59218.958333333336,-15.91668821834088
96,59219.0,-16.129034763707978
97,59219.041666666664,-15.265778260514224
98,59219.083333333336,-15.158018540066308
99,59219.125,-14.757854805881323
100,59219.166666666664,-14.857067337511353
101,59219.208333333336,-15.389631393421752
102,59219.25,-15.887500106520065
103,59219.291666666664,-15.719320106520058
104,59219.333333333336,-14.788672358598006
105,59219.375,-15.438313561153024
106,59219.416666666664,-14.336691156043031
107,59219.458333333336,-13.749242400771351
108,59219.5,-15.292078819618382
109,59219.541666666664,-14.304120792144289
110,59219.583333333336,-13.856635533678883
111,59219.625,-15.788593197254215
112,59219.666666666664,-16.01593227425127
113,59219.708333333336,-14.610677100132648
114,59219.75,-16.782483798531672
115,59219.791666666664,-14.60125922569054
116,59219.833333333336,-13.09731677840719
117,59219.875,-11.864529953488073
118,59219.916666666664,-14.201826931439172
119,59219.958333333336,-11.704114890228055
120,59220.0,-10.846603323774332
121,59220.041666666664,-11.506114805881339
122,59220.083333333336,-10.672137337511344
123,59220.125,-11.006668861791752
124,59220.166666666664,-10.012080190866811
125,59220.208333333336,-9.972208946138494
126,59220.25,-10.15310328160092
127,59220.291666666664,-10.407393840705026
128,59220.333333333336,-8.651669225690512
129,59220.375,-6.9631361349564145
130,59220.416666666664,-7.309281071696319
131,59220.458333333336,-6.605082036872602
132,59220.5,-5.441751841667269
133,59220.541666666664,-7.201190512592234
134,59220.583333333336,-10.581148133994134
135,59220.625,-9.081431715147176
136,59220.666666666664,-8.858372036872595
137,59220.708333333336,-8.496880190866761
138,59220.75,-8.116449911314703
139,59220.791666666664,-9.758734484155923
140,59220.833333333336,-8.319670554765594
141,59220.875,-8.769470554765576
142,59220.916666666664,-11.228617295337983
143,59220.958333333336,-10.12342553367887
144,59221.0,-11.28229480588135
145,59221.041666666664,-10.341865169780078
146,59221.083333333336,-10.141698582239655
147,59221.125,-8.704048988311854
148,59221.166666666664,-9.44145079214428
149,59221.208333333336,-8.121764009398476
150,59221.25,-9.909190749970946
151,59221.291666666664,-8.212992121219372
152,59221.333333333336,-8.507020512592248
153,59221.375,-8.79510512760669
154,59221.416666666664,-8.810473239427552
155,59221.458333333336,-7.8419966940604695
156,59221.5,-7.316231393421731
157,59221.541666666664,-6.113336820580571
158,59221.583333333336,-6.61083746403142
159,59221.625,-8.734807938788833
160,59221.666666666664,-8.201227057959272
161,59221.708333333336,-8.31013802313555
